Designator,Mid X,Mid Y,Layer,Rotation
ANT1 ,-48.85,153.25, top,-90
C1 ,-105.9384,130.8256, top,90
C2 ,-109.0626,129.0984, top,0
C3 ,-109.0896,126.6116, top,0
C4 ,-103.4746,130.8256, top,90
C5 ,-50.65,104.4, top,0
C7 ,-122.95,152, top,-90
C8 ,-92.35,113.938, top,90
C9 ,-92.35,107.212, top,-90
C10 ,-89.3,113.938, top,90
C11 ,-89.3,107.212, top,-90
C13 ,-76.15,154.5, top,0
C14 ,-76.15,157, top,0
C15 ,-76.15,149.55, top,0
C16 ,-76.15,152, top,0
C17 ,-76.15,147, top,0
C20 ,-61.2,141, top,180
C21 ,-142.926,131, top,0
C22 ,-142.912,139.9, top,0
C23 ,-142.925,136.4, top,0
C24 ,-142.937,134.65, top,0
C25 ,-135.912,139.8, top,180
C26 ,-142.937,132.85, top,0
C28 ,-142.901,129.2, top,0
C29 ,-142.933,127.4, top,0
C30 ,-142.926,125.7, top,0
C33 ,-142.925,138.15, top,0
CR1 ,-61.6476,153, top,0
CR2 ,-100.9236,130.7511, top,-90
D1 ,-106.25,119.5, top,180
D2 ,-126.4,151.8625, top,90
D3 ,-110.25,119.4625, top,180
D4 ,-110.7,141.5375, top,180
D5 ,-153.5125,151.2625, top,180
D6 ,-125.25,109.7875, top,180
D7 ,-136.1,127.4, top,180
D8 ,-136.1,124.9, top,180
D9 ,-136.1,129.9, top,180
FID1 ,-170.45,159.35, top,0
FID5 ,-45.55,101.65, top,180
FID6 ,-170.45,101.65, top,0
IC1 ,-109.15,131.744, top,180
J3 ,-149.55,135.55, top,-90
L1 ,-112.25,130.355, top,-90
L2 ,-51.1684,143.5, top,-90
L3 ,-56.917,155.0846, top,180
L4 ,-64.704,140.98, top,0
L5 ,-108,110, top,-90
L6 ,-135.85,135.003, top,-90
Q1 ,-106.15,122.9375, top,90
Q2 ,-110.8,144.5375, top,90
Q3 ,-153.6,113, top,90
Q4 ,-139.7,153, top,90
Q5 ,-110.15,122.9125, top,90
Q6 ,-125.25,113.1375, top,90
Q7 ,-153.4625,154.5, top,90
Q8 ,-135.9914,142.7, top,-90
R1 ,-161.9,130.5, top,-90
R2 ,-159.05,130.5, top,-90
R3 ,-76.3,121.9, top,0
R4 ,-109.596,134.6772, top,0
R5 ,-70.7,122, top,180
R6 ,-110.8,139.4375, top,180
R7 ,-106,117, top,180
R8 ,-153.4745,148.8625, top,180
R9 ,-90.95,157, top,0
R10 ,-110.15,117.0125, top,180
R11 ,-125.112,107.2875, top,180
R12 ,-142.899,143.7, top,180
R13 ,-153.662,109, top,0
R14 ,-139.7,149, top,180
R15 ,-142.899,141.8, top,180
R16 ,-90.95,154.5, top,0
R17 ,-90.95,152, top,180
R18 ,-90.95,149.5, top,180
U2 ,-65.05,124.2, top,-90
U11 ,-76,134.4, top,0
U12 ,-108,154.4976, top,180
