Comment,Designator,Footprint,JLCPCB,Quantity
100K,"R7,R8,R6,R11,R10",R0603,C25803,5
XIAO,U2,MOUDLE16P-SMD-2.54-21X17.8MM,C17209540,1
267K,R4,R0603,C22963,1
3.6pF,"C10,C11",C0603,C1661,2
1uF,"C29,C22,C21,C26,C23,C24,C30,C28",C0603,C106215,8
51pF,"C9,C8",C0603,C1675,2
TPS62840DLCR,IC1,SON50P150X200X100-8N-D,C2071859,1
NSR0520V2,"D4,D5,D3,D1,D6",D_SOD-523,C99683,5
CUHZ5V6_H3F,"CR2,CR1",ZDO_30V_H3F_TOS,C266249,2
3R,R15,R0603,C23157,1
FDN304P,"Q5,Q3,Q7,Q2,Q4,Q6,Q1",SOT-23,C19188375,7
47uF,"C14,C13",C0805,C6119904,2
22R,"R16,R18,R17",R0603,C23345,3
100pF,C15,C0805,C1790,1
6.8nH,L3,L_0603_1608Metric,C281031,1
MBR0530,"D9,D7,D8",D_SOD-123,C77336,3
100R,"R3,R13,R14,R5",R0603,C22775,4
10K,"R12,R9,R1,R2",R0603,C25804,4
10uF,"C1,C5,C2",C0805,C87157,3
4.7uF,"C33,C25",C0603,C1705,2
22pF,C17,C0805,C24658,1
0.5pF,C20,C0603,C1633,1
100nF,"C7,C16",C0805,C49678,2
FFC2B28-24-G,J3,GCT_FFC2B28-24-G,C3151659,1
1.5nH,L2,L_0603_1608Metric,C77106,1
NCP.5820,ANT1,NCP5820,C5210747,1
W3102,L5,IND_3102_PUL,C6604739,1
1042240820,U12,1042240820_MOL,C585349,1
BC660KGLAA-I03-SNASA,U11,BC66_QWS,C5140591,1
10uH,L6,IND_LSXN&slash_LSXP_4040TK_TAY,C5383032,1
2.2uH,L1,L0806,C337893,1
SP0504BAHTG,D2,SOT-23-5,C19829475,1
33nH,L4,L_0603_1608Metric,C35050,1
SI1308EDL,Q8,MOSFET_8EDL-T1-GE3_VIS,C4355112,1
